position,person,personID,start,gender,DOB,DOD,image,enwiki
Governor,John Rankin,Q15429094,2021-01-29,male,1957-03-12,,Johnrankin.jpg,John Rankin (diplomat)
Deputy Governor,"David D. Archer, Jr",Q109887606,2018-03-01,male,,,,
Premier,Natalio Wheatley,Q111795596,2022-05-05,male,1980-06-02,,Natalio D. Wheatley (profile).jpg,Natalio Wheatley
Minister for Communications and Works,Kye M. Rymer,Q109887651,2022-05-05,male,,,,
"Minister for Education, Culture, Youth Affairs and Sports",Sharie De Castro,Q6126888,2022-05-05,female,1991-12-31,,,Sharie De Castro
Minister of Finance,Natalio Wheatley,Q111795596,2019-03-01,male,1980-06-02,,Natalio D. Wheatley (profile).jpg,Natalio Wheatley
Minister for Health and Social Development,Marlon A. Penn,Q112474251,2022-05-05,male,,,,
"Minister for Natural Resources, Labour and Immigration",Melvin M. Turnbull,Q112474631,2022-05-05,male,,,,
Attorney General,Dawn Smith,Q109887624,2020-10-01,female,,,,
Speaker of the House of Assembly,Julian Willock,Q110096262,2019-03-12,male,,,,
